"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Image Src","Image Position","Image Alt Text","Variant Image","Variant Weight Unit","Status"
"premium-straight-tension-fabric-backdrop-display","Premium Straight Tension Fabric Backdrop Display","<h2>Key Features</h2><ul>
<li>Vibrant, high-resolution graphics with eco-friendly dye sublimation printing</li>
<li>Wrinkle-resistant, fire-retardant, and machine washable fabric</li>
<li>Lightweight aluminum frame ensures portability and strength</li>
<li>Quick and tool-free setup using snap-lock connectors</li>
<li>Available in single or double-sided print options</li>
<li>Optional add-ons: LED lights, hard carry cases, counters, and accessories</li>
</ul><h2>Shipping &amp; Installation</h2><ul>
<li>Production Lead Time: 24 business hours after artwork approval</li>
<li>Domestic Shipping: Delivered in 5–7 business days across the US.</li>
<li>International Shipping: Available with customs-ready support</li>
<li>Pickup Services: Not available — all items are shipped</li>
<li>Installation: Optional professional setup available on request</li>
<li>Assembly Video: <a href=""https://youtu.be/jJGLLSZJZvg?feature=shared"">Watch on YouTube</a>
</li>
</ul><h2>Product Dimensions</h2><table>
<thead><tr>
<th>Size</th>
<th>Frame Dimensions</th>
<th>Graphics Dimensions</th>
<th>Package Dimensions</th>
<th>Package Weight</th>
</tr></thead>
<tbody>
<tr>
<td>6.5ft Wide</td>
<td>6.5ft wide x 7.5ft height</td>
<td>80 inch wide x 90 inch height</td>
<td>10 inch x 10 inch x 30 inch</td>
<td>10.6lbs</td>
</tr>
<tr>
<td>8 ft wide</td>
<td>8ft wide x 7.5ft height</td>
<td>96 inch wide x 90 inch height</td>
<td>10 inch x 10 inch x 30 inch</td>
<td>11.6lbs</td>
</tr>
<tr>
<td>10 ft wide</td>
<td>9.8ft wide x 7.5ft height</td>
<td>115 inch wide x 90 inch height</td>
<td>10 inch x 10 inch x 30 inch</td>
<td>16.5lbs</td>
</tr>
<tr>
<td>13.2ft Wide</td>
<td>13.2ft wide x 7.5ft height</td>
<td>157 inch wide x 90 inch height</td>
<td>15 inch x 15 inch x 30 inch</td>
<td>21lbs</td>
</tr>
<tr>
<td>16.4ft Wide</td>
<td>16.4ft wide x 7.5ft height</td>
<td>197 inch wide x 90 inch height</td>
<td>15 inch x 15 inch x 30 inch</td>
<td>23lbs</td>
</tr>
<tr>
<td>20ft Wide</td>
<td>19.5ft wide x 7.5ft height</td>
<td>235 inch wide x 90 inch height</td>
<td>15 inch x 15 inch x 30 inch</td>
<td>24lbs</td>
</tr>
</tbody>
</table><p><strong>Product Specifications</strong></p><ul>
<li>Frame: Durable aluminum bungee-corded frame with wide aluminum bases (1.25inch diameter)</li>
<li>Fabric: 260gsm wrinkle-resistant, fire-retardant, and machine-washable polyester</li>
<li>Print Method: Full-color CMYK dye-sublimation for rich, lasting prints</li>
<li>Setup Time: Fast tool-free assembly using snap-lock tube connectors</li>
<li>Use Cases: Ideal for expos, press events, retail stores, lobbies, and photography backdrops</li>
</ul><p><strong>LED &amp; Packaging Specifications</strong></p><p><strong>Finishing</strong></p><ul>
<li>Fabric: 260gsm wrinkle-resistant, fire-retardant, and machine-washable polyester</li>
<li>Print Method: Full-color CMYK dye-sublimation for rich, lasting prints</li>
</ul><h2>What's included</h2><ul>
<li>1 x Lightweight aluminum frame with snap-lock tubing</li>
<li>2 x Aluminum base feet for enhanced stability.</li>
<li>1 x Custom-printed fabric graphic (single or double-sided)</li>
<li>1 x Soft nylon carry bag for portability</li>
<li>Step-by-step assembly instructions</li>
</ul><p><strong>Optional Add-ons as per selection:</strong></p><h2>Artwork and file setup</h2><p>We accept your artwork through WeTransfer, Dropbox, Google Drive, Email, or directly via the Upload Artwork button above. If you don't have a design ready, our in-house creative team is here to help — we'll bring your brand to life with a professionally designed layout tailored to this product.</p><p>To ensure you're confident before we print, we also offer a FREE 2D mockup preview. Use the ""Request Free 2D Mockup Image"" button at the top of the page and send us your content or files. We'll show you how your backdrop will look in real life.</p><table>
<thead><tr>
<th>Category</th>
<th>Specification</th>
</tr></thead>
<tbody>
<tr>
<td>Accepted Formats</td>
<td>AI, PSD, PDF (high resolution preferred)</td>
</tr>
<tr>
<td>Resolution</td>
<td>Minimum 150 DPI at full size</td>
</tr>
<tr>
<td>Bleed</td>
<td>1 inch on all sides (keep text/logos away from edges)</td>
</tr>
<tr>
<td>Color Mode</td>
<td>CMYK for optimal print accuracy</td>
</tr>
<tr>
<td>Fonts</td>
<td>Outline all fonts or attach font files</td>
</tr>
</tbody>
</table>","Backdropsource","Tension Media Wall","10ft Exhibit Systems, 20ft Exhibit Systems, 8ft Exhibit Systems, family:tension-media-wall, feature:portable, frame:tension","TRUE","Choose Size (W x H)","6.5ft W x 7.5ft H","Choose Printing Option","Single side graphic printed","Choose Hardware Option","With aluminum frame","TMW-STMW","1000","","continue","manual","336.00","","TRUE","TRUE","https://cdn.shopify.com/s/files/1/1065/1408/files/1_Thumbnail_image_ecd067ab-c1e4-45a3-872e-5db0301850e2.jpg?v=1782707264","1","Premium Straight Tension Fabric Backdrop Display","https://cdn.shopify.com/s/files/1/1065/1408/files/1_Thumbnail_image_ecd067ab-c1e4-45a3-872e-5db0301850e2.jpg?v=1782707264","g","active"
"premium-straight-tension-fabric-backdrop-display","","","","","","","","6.5ft W x 7.5ft H","","Single side graphic printed","","Replacement print only (no frame)","TMW-STMW","1000","","continue","manual","162.00","","TRUE","TRUE","https://cdn.shopify.com/s/files/1/1065/1408/files/2_Different_angle_9c05ea9c-ee40-4090-91b5-bdc3df9211f3.png?v=1782707265","2","Premium Straight Tension Fabric Backdrop Display","https://cdn.shopify.com/s/files/1/1065/1408/files/3._Fabric.png?v=1782216980","g",""
"premium-straight-tension-fabric-backdrop-display","","","","","","","","6.5ft W x 7.5ft H","","Double side graphics printed","","With aluminum frame","TMW-STMW","1000","","continue","manual","347.00","","TRUE","TRUE","https://cdn.shopify.com/s/files/1/1065/1408/files/3._Fabric.png?v=1782216980","3","Premium Straight Tension Fabric Backdrop Display","https://cdn.shopify.com/s/files/1/1065/1408/files/Artboard_10.png?v=1782216979","g",""
"premium-straight-tension-fabric-backdrop-display","","","","","","","","6.5ft W x 7.5ft H","","Double side graphics printed","","Replacement print only (no frame)","TMW-STMW","1000","","continue","manual","173.00","","TRUE","TRUE","https://cdn.shopify.com/s/files/1/1065/1408/files/5_Frame_Tools.png?v=1782216979","4","Premium Straight Tension Fabric Backdrop Display","https://cdn.shopify.com/s/files/1/1065/1408/files/3._Fabric.png?v=1782216980","g",""
"premium-straight-tension-fabric-backdrop-display","","","","","","","","6.5ft W x 7.5ft H","","No fabric (frame only)","","With aluminum frame","TMW-STMW","1000","","continue","manual","271.00","","TRUE","TRUE","https://cdn.shopify.com/s/files/1/1065/1408/files/5_Dimensions.png?v=1782216979","5","Premium Straight Tension Fabric Backdrop Display","https://cdn.shopify.com/s/files/1/1065/1408/files/5_Frame_Tools.png?v=1782216979","g",""
"premium-straight-tension-fabric-backdrop-display","","","","","","","","8ft W x 7.5ft H","","Single side graphic printed","","With aluminum frame","TMW-STMW","2000","","continue","manual","388.00","","TRUE","TRUE","https://cdn.shopify.com/s/files/1/1065/1408/files/5_silhoute_image.png?v=1782216979","6","Premium Straight Tension Fabric Backdrop Display","https://cdn.shopify.com/s/files/1/1065/1408/files/1_Thumbnail_image_ecd067ab-c1e4-45a3-872e-5db0301850e2.jpg?v=1782707264","g",""
"premium-straight-tension-fabric-backdrop-display","","","","","","","","8ft W x 7.5ft H","","Single side graphic printed","","Replacement print only (no frame)","TMW-STMW","1000","","continue","manual","182.00","","TRUE","TRUE","https://cdn.shopify.com/s/files/1/1065/1408/files/Artboard_10.png?v=1782216979","7","Premium Straight Tension Fabric Backdrop Display","https://cdn.shopify.com/s/files/1/1065/1408/files/3._Fabric.png?v=1782216980","g",""
"premium-straight-tension-fabric-backdrop-display","","","","","","","","8ft W x 7.5ft H","","Double side graphics printed","","With aluminum frame","TMW-STMW","1000","","continue","manual","405.00","","TRUE","TRUE","https://cdn.shopify.com/s/files/1/1065/1408/files/6_Features.png?v=1782216980","8","Premium Straight Tension Fabric Backdrop Display","https://cdn.shopify.com/s/files/1/1065/1408/files/Artboard_10.png?v=1782216979","g",""
"premium-straight-tension-fabric-backdrop-display","","","","","","","","8ft W x 7.5ft H","","Double side graphics printed","","Replacement print only (no frame)","TMW-STMW","1000","","continue","manual","200.00","","TRUE","TRUE","https://cdn.shopify.com/s/files/1/1065/1408/files/Artboard_8_3.png?v=1782369467","9","Premium Straight Tension Fabric Backdrop Display","https://cdn.shopify.com/s/files/1/1065/1408/files/3._Fabric.png?v=1782216980","g",""
"premium-straight-tension-fabric-backdrop-display","","","","","","","","8ft W x 7.5ft H","","No fabric (frame only)","","With aluminum frame","TMW-STMW","1000","","continue","manual","315.00","","TRUE","TRUE","https://cdn.shopify.com/s/files/1/1065/1408/files/8_indoor_images_1.png?v=1782220332","10","Premium Straight Tension Fabric Backdrop Display","https://cdn.shopify.com/s/files/1/1065/1408/files/5_Frame_Tools.png?v=1782216979","g",""
